N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
162,0,60,46,0,8.2469,5.9568,-1103.3431
172,0,62,30,0,8.3081,4.5465,-1109.8182
178,0,41,49,4,8.2921,4.4045,-1124.07
172,9,68,25,16,8.0523,7.5756,-1138.1617
182,0,73,52,14,8.1923,7.8022,-1161.0663
187,0,27,56,16,8.0642,7.3369,-1162.3074
180,6,61,36,9,8.1611,6.3944,-1188.1744
180,0,24,10,35,7.9722,7.3167,-1184.1422
192,0,120,50,0,8.224,8.1927,-1210.9662
183,0,57,46,4,8.3661,5.2514,-1213.151
198,0,120,72,0,8.2374,8.1313,-1230.1872
185,0,52,42,2,8.2486,4.9243,-1231.6904
198,1,28,45,4,8.1919,6.803,-1228.6667
205,0,109,61,0,8.2537,7.4732,-1257.0627
193,0,57,47,0,8.2332,5.4404,-1302.1988
204,0,43,67,6,8.1029,7.5735,-1312.4604
203,0,48,83,1,8.1675,8.0739,-1319.0817
207,0,81,52,19,8.2367,7.5894,-1362.1304
207,0,105,34,14,8.2319,7.7971,-1376.7162
222,0,115,16,37,8.1532,7.2207,-1371.0097
206,3,54,30,12,8.1019,7.6748,-1383.7689
197,16,72,29,23,8.0863,7.6396,-1398.0908
212,0,100,33,32,8.184,7.3585,-1409.2365
219,0,21,68,2,8.1918,6.7397,-1399.8925
208,3,18,38,21,8.1394,7.2115,-1410.6727
233,0,48,129,0,8.3433,8.309,-1425.7219
204,17,96,16,19,8.0931,7.9706,-1455.5536
203,22,67,27,18,8.0591,6.5369,-1468.1612
235,0,28,62,12,8.2553,7.2,-1493.4253
232,0,34,65,10,8.3233,6.8448,-1493.0131
226,1,70,52,13,8.2699,6.9381,-1516.3799
230,0,27,61,14,8.3,6.0,-1516.2468
247,0,121,79,0,8.3077,7.7652,-1536.348
219,17,67,21,23,8.0776,7.2557,-1541.3727
222,5,100,47,15,8.2207,7.7162,-1564.9867
228,0,56,65,1,8.4342,5.8684,-1564.9478
230,5,27,36,20,8.1217,6.8609,-1585.7092
232,3,44,55,13,8.2026,6.7155,-1589.0266
242,0,26,63,1,8.2521,7.2645,-1603.4833
232,8,43,59,6,8.3664,7.0905,-1623.9322
279,0,112,49,0,8.4194,6.7384,-1620.3324
244,0,33,55,12,8.168,7.709,-1632.2555
