N_bulk,Avg_bulk,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,FCC,HCP,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14
4545,12.0854,31,184,3743,518,50,11,2172,1182,33,11.0345,73,43,32,22,35,34,58,48,186,109,147,301,3219,225,13
7412,12.0374,66,339,6220,699,61,3,3883,1772,44,11.2941,38,25,38,31,39,42,59,86,289,194,277,516,5437,326,15
9852,12.0113,77,380,8673,664,28,2,6056,2069,61,11.5532,24,14,47,27,25,21,45,53,298,183,251,521,7953,381,9
10624,12.0346,37,354,9432,763,27,2,6737,2203,63,11.6325,11,17,44,23,36,31,41,49,286,129,204,482,8798,467,6
10942,12.0337,44,339,9752,774,23,1,7008,2272,58,11.6627,3,10,43,23,26,26,28,48,302,157,212,479,9119,460,6
11067,12.0352,33,307,9970,727,24,1,7131,2301,57,11.6586,19,9,35,22,28,34,39,44,277,127,204,504,9315,406,4
11135,12.0401,32,314,9978,788,20,1,7221,2220,62,11.678,16,12,38,28,29,23,23,50,275,132,178,513,9306,508,4
910,12.4846,1,82,382,367,76,2,10,14,3,2.0549,300,195,130,105,60,26,29,21,17,12,5,6,3,1,0
916,12.548,3,63,368,398,79,5,18,13,4,2.5677,267,196,116,78,71,48,38,22,24,14,15,12,12,2,1
2139,12.3305,13,71,1319,655,74,4,642,431,0,11.6007,18,11,5,4,12,14,25,10,26,47,69,178,1240,436,44
3036,12.0231,22,106,2680,200,16,4,1397,1144,0,11.5978,29,12,7,5,8,13,7,12,17,32,72,169,2549,100,4
4946,11.9824,70,239,4337,252,31,5,2374,1742,1,11.441,64,28,14,17,13,17,24,35,42,78,138,275,4102,99,0
6661,11.9482,113,356,5844,283,21,8,3125,2494,0,11.6871,17,10,11,10,12,11,18,22,50,94,199,433,5641,132,1
8140,11.9387,150,397,7237,282,25,4,3718,3238,0,11.7265,9,9,6,7,9,12,22,37,60,130,233,483,6972,146,5
9566,11.9289,159,480,8643,212,22,4,4511,3932,0,11.7876,24,6,3,9,3,7,16,22,42,87,214,538,8488,107,0
10295,11.934,148,475,9359,246,9,3,4861,4344,0,11.8509,5,1,2,1,3,4,7,23,39,100,197,531,9228,153,1
10669,11.9295,153,509,9751,204,4,1,5047,4558,0,11.8706,2,0,0,0,1,2,6,14,39,82,218,522,9653,129,1
812,12.564,6,54,330,330,82,10,5,12,7,1.3571,360,213,94,48,35,20,14,10,8,6,1,1,2,0,0
823,12.5565,2,63,333,329,92,4,2,9,6,1.277,368,214,103,52,31,22,12,10,5,4,0,1,1,0,0
1612,12.4826,4,112,744,622,114,16,71,63,8,4.273,305,254,160,117,108,113,96,86,77,67,74,59,71,22,3
2160,12.4537,3,103,1103,815,128,7,292,243,12,8.2528,88,73,82,82,94,100,137,144,176,180,189,221,452,124,18
3126,12.3535,6,135,1842,1023,113,4,707,427,29,9.6676,74,50,59,67,90,79,115,143,221,217,247,349,1060,314,41
4719,12.3117,26,225,2893,1381,185,4,1227,699,38,10.0076,79,91,102,117,84,107,156,148,290,241,302,454,1955,528,65
5878,12.2656,38,247,3908,1459,216,4,2032,952,31,10.8372,31,48,67,58,74,88,112,151,285,273,339,491,2969,764,128
7507,12.2083,40,311,5335,1652,156,5,3100,1178,29,10.9402,50,50,63,70,96,117,146,175,272,276,371,577,4296,869,79
